Gene_Tag	ME	Syn	PA	Sites	Codons
Rv0428c	15	2	13	15	15
Rv0429c	11	6	5	11	11
Rv0430	1	1	0	1	1
Rv0431	5	3	2	5	5
Rv0432	8	5	3	8	8
Rv0433	7	2	5	7	7
Rv0434	11	3	8	11	10
Rv0435c	39	11	28	38	38
Rv0436c	10	5	5	10	9
Rv0437c	6	3	3	6	6
Rv0438c	23	3	20	22	21
Rv0439c	18	6	12	18	17
Rv0440	15	12	3	14	14
Rv0441c	5	2	3	5	5
Rv0443	4	0	4	4	4
Rv0444c	10	4	6	10	9
Rv0445c	8	6	2	8	8
Rv0446c	12	2	10	12	12
Rv0447c	18	7	11	18	18
Rv0448c	6	1	5	6	6
Rv0449c	19	9	10	19	19
Rv0450c	32	11	21	32	29
Rv0451c	5	3	2	5	5
Rv0452	11	4	7	10	10
Rv0455c	4	2	2	4	4
Rv0456c	22	8	14	22	20
Rv0456A	5	0	5	5	5
Rv0457c	24	5	19	24	24
Rv0458	35	16	19	35	35
Rv0459	14	5	9	14	13
Rv0460	5	2	3	5	5
Rv0461	15	3	12	15	15
Rv0462	16	11	5	16	15
Rv0463	4	0	4	4	4
Rv0464c	6	3	3	6	5
Rv0465c	24	9	15	24	24
Rv0466	11	4	7	11	11
Rv0467	8	5	3	8	8
Rv0468	12	3	9	12	12
Rv0469	19	7	12	18	18
Rv0470c	9	4	5	8	8
Rv0470A	7	2	5	7	7
Rv0471c	12	2	10	12	12
Rv0472c	6	2	4	6	6
Rv0473	13	2	11	13	13
Rv0474	6	3	3	6	6
Rv0475	10	4	6	10	10
Rv0476	4	1	3	4	4
Rv0477	6	1	5	6	6
Rv0478	11	7	4	11	11
Rv0479c	10	4	6	9	8
Rv0480c	12	7	5	12	12
Rv0481c	8	1	7	8	8
Rv0482	14	3	11	14	14
Rv0483	17	10	7	17	17
Rv0484c	10	3	7	10	10
Rv0485	21	10	11	21	21
Rv0486	21	9	12	21	20
Rv0487	10	1	9	9	9
Rv0488	12	4	8	12	12
Rv0489	5	3	2	5	5
Rv0491	3	0	3	3	3
Rv0492c	30	7	23	30	30
Rv0492A	4	1	3	4	4
Rv0493c	22	8	14	21	20
Rv0494	10	4	6	10	10
Rv0495c	16	7	9	16	16
Rv0496	10	3	7	10	10
Rv0497	9	2	7	9	9
Rv0498	21	14	7	21	20
Rv0499	14	4	10	14	13
Rv0500	12	3	9	12	12
Rv0500A	1	0	1	1	1
Rv0501	20	7	13	19	19
Rv0502	13	4	9	13	12
Rv0503c	8	2	6	8	8
Rv0504c	5	2	3	5	5
Rv0505c	17	7	10	17	17
Rv0506	3	0	3	3	3
Rv0507	65	25	40	65	65
Rv0508	5	0	5	5	5
Rv0509	27	13	14	26	26
Rv0510	9	4	5	9	9
Rv0511	15	5	10	15	15
Rv0512	19	7	12	18	17
Rv0513	7	4	3	7	7
Rv0514	11	4	7	11	10
Rv0515	1	0	1	1	1
Rv0516c	8	4	4	8	7
Rv0517	24	2	22	24	22
Rv0518	10	4	6	10	10
Rv0519c	10	3	7	10	10
Rv0522	19	7	12	19	19
Rv0523c	7	1	6	7	7
Rv0524	27	13	14	27	26
Rv0527	9	5	4	9	9
Rv0528	24	6	18	24	24
Rv0529	13	4	9	13	12
Rv0530	24	8	16	24	24
Rv0531	1	0	1	1	1
Rv0534c	16	10	6	16	16
Rv0535	11	6	5	11	11
Rv0536	13	4	9	13	13
Rv0537c	30	13	17	29	29
Rv0538	22	8	14	22	21
Rv0539	6	3	3	6	6
Rv0540	9	6	3	9	9
Rv0541c	12	6	6	12	12
Rv0542c	17	7	10	17	17
Rv0543c	3	1	2	3	3
Rv0544c	7	2	5	7	7
Rv0545c	20	14	6	20	20
Rv0546c	9	5	4	9	9
Rv0547c	17	9	8	17	17
Rv0548c	7	2	5	7	7
Rv0549c	9	4	5	9	9
Rv0550c	4	0	4	4	4
Rv0552	18	8	10	17	17
Rv0553	13	4	9	13	13
Rv0554	13	7	6	13	13
Rv0555	18	11	7	17	17
Rv0556	6	1	5	6	6
Rv0557	20	5	15	20	19
Rv0558	4	1	3	4	4
Rv0559c	3	0	3	3	3
Rv0560c	12	4	8	12	12
Rv0561c	21	13	8	21	20
Rv0562	9	3	6	9	9
Rv0563	17	8	9	17	16
Rv0564c	27	12	15	26	25
Rv0565c	44	8	36	44	43
Rv0566c	13	5	8	13	13
Rv0567	23	6	17	23	23
Rv0568	23	9	14	23	22
Rv0569	5	0	5	5	5
Rv0570	45	16	29	45	44
Rv0571c	22	5	17	22	21
Rv0572c	8	3	5	8	8
Rv0573c	18	4	14	18	18
Rv0574c	20	5	15	19	19
Rv0575c	20	8	12	20	20
Rv0576	25	8	17	25	24
Rv0577	15	3	12	15	15
Rv0579	14	6	8	13	13
Rv0580c	4	1	3	4	4
Rv0581	6	2	4	6	6
Rv0582	5	1	4	5	5
Rv0583c	12	4	8	12	12
Rv0584	49	19	30	48	46
Rv0585c	40	11	29	39	38
Rv0586	11	5	6	11	11
Rv0587	24	12	12	22	21
Rv0588	19	5	14	19	19
Rv0589	36	7	29	36	35
Rv0591	30	10	20	27	27
Rv0592	25	9	16	25	24
Rv0593	23	5	18	23	23
Rv0594	30	6	24	30	29
Rv0595c	9	3	6	9	9
Rv0596c	5	2	3	5	5
Rv0597c	10	2	8	10	10
Rv0598c	7	0	7	7	7
Rv0599c	3	2	1	3	3
Rv0600c	5	1	4	5	5
Rv0601c	7	4	3	6	6
Rv0602c	18	3	15	17	15
Rv0603	3	2	1	3	3
Rv0604	14	8	6	14	14
Rv0605	8	4	4	8	8
Rv0607	7	3	4	7	7
Rv0608	2	1	1	2	2
Rv0609	3	1	2	3	3
Rv0610c	25	9	16	25	25
Rv0611c	8	2	6	8	8
Rv0615	9	5	4	9	9
Rv0616A	5	2	3	5	5
Rv0617	5	2	3	5	5
Rv0620	24	3	21	24	23
Rv0621	13	7	6	13	13
Rv0622	18	3	15	18	17
Rv0623	3	2	1	3	3
Rv0624	8	3	5	8	8
Rv0625c	13	4	9	12	12
Rv0626	6	5	1	6	6
Rv0627	3	0	3	3	3
Rv0628c	27	7	20	26	26
Rv0629c	28	11	17	27	26
Rv0630c	47	15	32	45	45
Rv0631c	48	16	32	47	46
Rv0632c	6	0	6	6	6
Rv0633c	14	5	9	14	14
Rv0634c	5	2	3	5	5
Rv0634A	4	1	3	4	4
Rv0634B	1	0	1	1	1
Rv0635	12	3	9	9	9
Rv0636	7	4	3	7	7
Rv0637	7	5	2	7	7
Rv0638	8	1	7	8	6
Rv0639	10	4	6	10	9
Rv0640	3	2	1	3	3
Rv0641	10	4	6	10	10
Rv0642c	17	6	11	17	17
Rv0643c	8	3	5	8	8
Rv0644c	10	5	5	10	10
Rv0645c	6	3	3	6	6
Rv0646c	20	6	14	20	18
Rv0647c	26	15	11	25	25
Rv0648	72	30	42	71	70
Rv0649	2	0	2	2	2
Rv0650	12	6	6	12	12
Rv0651	6	2	4	6	6
Rv0652	6	1	5	6	6
Rv0653c	11	2	9	11	11
Rv0654	29	6	23	29	27
Rv0655	15	5	10	15	14
Rv0656c	12	3	9	12	12
Rv0657c	3	1	2	3	3
Rv0658c	18	4	14	18	18
Rv0659c	5	0	5	5	5
Rv0660c	2	0	2	2	2
Rv0661c	12	4	8	12	12
Rv0662c	5	3	2	5	5
Rv0663	41	17	24	41	41
Rv0664	3	0	3	3	3
Rv0665	5	2	3	5	5
Rv0666	2	0	2	2	2
Rv0667	201	14	187	67	62
Rv0668	136	31	105	91	84
Rv0669c	40	12	28	40	39
Rv0670	10	1	9	10	10
Rv0671	19	9	10	19	18
Rv0672	40	15	25	40	36
Rv0673	18	4	14	18	16
Rv0674	10	2	8	9	9
Rv0675	17	7	10	16	16
Rv0676c	47	13	34	46	46
Rv0677c	6	2	4	6	6
Rv0678	6	2	4	6	6
Rv0679c	10	5	5	9	9
Rv0680c	9	2	7	9	8
Rv0681	12	6	6	11	11
Rv0682	81	4	77	8	7
Rv0683	6	3	3	6	6
Rv0684	36	21	15	36	35
Rv0685	7	6	1	7	7
Rv0686	7	3	4	7	7
Rv0687	8	3	5	8	8
Rv0688	21	11	10	20	20
Rv0689c	3	2	1	3	3
Rv0690c	9	3	6	9	9
Rv0691c	8	3	5	8	8
Rv0692	6	2	4	6	6
Rv0693	19	7	12	19	18
Rv0694	20	9	11	20	20
Rv0696	24	12	12	23	21
Rv0697	19	7	12	19	19
Rv0698	12	3	9	12	12
Rv0699	8	2	6	8	8
Rv0700	4	2	2	4	4
Rv0701	14	7	7	14	13
Rv0702	10	3	7	10	10
Rv0704	3	3	0	3	3
Rv0705	1	1	0	1	1
Rv0706	6	2	4	5	5
Rv0707	15	6	9	15	15
Rv0708	5	1	4	5	5
Rv0709	3	2	1	3	3
Rv0710	7	1	6	7	6
Rv0711	35	9	26	34	34
Rv0712	10	8	2	10	10
Rv0713	19	4	15	19	19
Rv0714	5	3	2	5	5
Rv0715	4	2	2	4	4
Rv0716	5	3	2	5	4
Rv0717	4	0	4	4	4
Rv0718	6	5	1	6	6
Rv0719	6	1	5	5	5
Rv0720	5	2	3	5	5
Rv0721	5	0	5	5	5
Rv0722	3	2	1	3	3
Rv0723	4	1	3	4	4
Rv0724	31	16	15	31	29
Rv0725c	15	6	9	15	15
Rv0726c	28	6	22	28	26
Rv0727c	13	4	9	13	13
Rv0728c	23	6	17	23	23
Rv0729	17	6	11	17	17
Rv0730	12	4	8	12	12
Rv0731c	11	5	6	11	11
Rv0732	14	5	9	14	14
Rv0733	7	5	2	6	6
Rv0734	7	4	3	7	7
Rv0735	11	6	5	11	10
Rv0736	14	7	7	14	14
Rv0737	9	6	3	9	9
Rv0738	2	1	1	2	2
Rv0743c	9	5	4	9	9
Rv0744c	1	0	1	1	1
Rv0745	11	1	10	11	11
Rv0748	12	7	5	5	5
Rv0749	24	15	9	8	8
Rv0749A	2	1	1	2	2
Rv0750	55	9	46	11	9
Rv0751c	6	1	5	6	6
Rv0752c	23	8	15	22	21
Rv0753c	24	11	13	24	23
Rv0756c	12	4	8	12	12
Rv0757	11	5	6	11	11
Rv0758	60	9	51	58	54
Rv0759c	5	3	2	5	5
Rv0760c	3	1	2	3	3
Rv0761c	12	6	6	12	12
Rv0762c	10	2	8	10	9
Rv0763c	4	3	1	4	4
Rv0764c	12	2	10	12	12
Rv0765c	14	6	8	14	14
Rv0766c	27	7	20	27	26
Rv0767c	13	5	8	13	13
Rv0768	32	15	17	32	32
Rv0770	14	3	11	14	14
Rv0771	6	3	3	6	6
Rv0772	24	11	13	24	24
Rv0773c	29	7	22	29	29
Rv0774c	12	4	8	12	12
Rv0775	6	2	4	6	6
Rv0776c	12	5	7	12	12
Rv0777	12	7	5	12	12
Rv0778	21	8	13	21	21
Rv0779c	6	2	4	6	6
Rv0780	10	6	4	10	10
Rv0783c	38	13	25	38	37
Rv0784	13	4	9	13	13
Rv0785	15	3	12	14	14
Rv0786c	13	6	7	13	13
Rv0787	20	4	16	20	20
Rv0787A	2	1	1	2	2
Rv0788	6	3	3	6	6
Rv0789c	8	0	8	8	8
Rv0790c	15	4	11	15	15
Rv0791c	16	5	11	16	16
Rv0792c	13	4	9	13	13
Rv0793	8	3	5	8	8
Rv0794c	26	11	15	26	25
Rv0799c	13	5	8	13	13
Rv0800	19	7	12	19	18
Rv0801	4	2	2	4	4
Rv0802c	9	2	7	9	9
Rv0803	24	11	13	24	24
Rv0804	8	3	5	8	8
Rv0805	20	7	13	20	18
Rv0806c	24	12	12	24	22
Rv0807	6	2	4	6	6
Rv0808	28	15	13	28	28
Rv0809	13	7	6	13	13
Rv0810c	2	2	0	2	2
Rv0811c	19	4	15	19	19
Rv0812	15	5	10	15	15
Rv0813c	9	3	6	9	9
Rv0814c	5	0	5	1	1
Rv0816c	16	5	11	15	15
Rv0817c	10	4	6	10	9
Rv0818	16	9	7	15	15
Rv0819	11	6	5	9	9
Rv0820	9	4	5	9	9
Rv0821c	6	3	3	6	6
Rv0822c	26	8	18	25	25
Rv0823c	17	4	13	17	17
Rv0824c	5	2	3	5	5
Rv0825c	22	5	17	21	21
Rv0826	10	5	5	10	10
Rv0827c	6	2	4	6	6
Rv0830	11	7	4	9	9
Rv0831c	10	4	6	10	9
Rv0835	9	3	6	9	9
Rv0838	13	1	12	13	12
Rv0841	4	1	3	4	4
Rv0842	13	5	8	13	13
Rv0843	25	10	15	25	23
Rv0844c	8	4	4	8	8
Rv0845	26	6	20	25	24
Rv0846c	22	5	17	21	21
Rv0847	8	2	6	6	6
Rv0848	20	9	11	20	20
Rv0852	18	4	14	18	17
Rv0853c	24	8	16	24	23
Rv0854	7	1	6	7	7
Rv0855	21	7	14	21	20
Rv0856	6	1	5	6	6
Rv0857	10	2	8	10	10
Rv0858c	27	8	19	27	27
Rv0859	21	6	15	20	20
Rv0860	30	16	14	30	30
Rv0861c	18	8	10	18	16
Rv0862c	40	16	24	40	40
Rv0864	7	3	4	7	7
Rv0865	4	2	2	4	4
Rv0866	12	8	4	12	11
Rv0867c	8	5	3	8	8
Rv0868c	6	1	5	6	6
Rv0869c	21	8	13	18	18
Rv0870c	5	1	4	5	5
Rv0871	4	3	1	4	4
Rv0873	24	9	15	23	23
Rv0874c	21	10	11	19	19
Rv0875c	7	3	4	7	7
Rv0876c	13	6	7	13	13
Rv0877	15	6	9	15	15
Rv0879c	1	1	0	1	1
Rv0880	5	2	3	5	5
Rv0881	15	4	11	15	15
Rv0882	7	1	6	7	7
Rv0883c	10	5	5	10	8
Rv0884c	16	7	9	15	15
Rv0885	19	6	13	19	19
Rv0886	28	15	13	28	27
Rv0887c	3	1	2	3	3
Rv0888	25	5	20	25	24
Rv0889c	29	7	22	29	29
Rv0890c	45	15	30	44	44
Rv0891c	11	2	9	11	11
Rv0892	23	5	18	23	22
Rv0893c	20	6	14	20	20
Rv0894	17	4	13	17	17
Rv0895	23	8	15	23	23
Rv0896	17	13	4	17	17
Rv0897c	24	7	17	24	23
Rv0898c	4	0	4	4	4
Rv0899	6	1	5	6	6
Rv0900	1	1	0	1	1
Rv0901	14	5	9	14	14
Rv0902c	11	4	7	11	11
Rv0903c	6	4	2	6	6
Rv0904c	15	7	8	15	15
Rv0905	9	2	7	9	9
Rv0906	17	5	12	17	17
Rv0907	24	7	17	24	24
Rv0908	29	14	15	29	28
Rv0909	4	1	3	4	4
Rv0910	7	2	5	7	7
Rv0911	10	4	6	10	10
Rv0912	7	1	6	7	7
Rv0913c	25	3	22	25	25
Rv0914c	18	5	13	18	17
Rv0917	24	8	16	24	24
Rv0918	5	2	3	5	5
Rv0919	6	2	4	6	5
Rv0923c	11	2	9	11	11
Rv0924c	22	7	15	22	22
Rv0925c	16	4	12	16	15
Rv0926c	19	7	12	19	19
Rv0927c	16	6	10	16	16
Rv0928	12	2	10	12	12
