gene_tag	length	hits	percent
Rv0393	1326	0	0.0
Rv0394c	720	0	0.0
Rv0395	405	0	0.0
Rv0396	393	0	0.0
Rv0397	369	0	0.0
Rv0397A	249	0	0.0
Rv0398c	642	0	0.0
Rv0399c	1230	0	0.0
Rv0400c	1188	0	0.0
Rv0401	372	0	0.0
Rv0402c	2877	0	0.0
Rv0403c	429	0	0.0
Rv0404	1758	0	0.0
Rv0405	4209	0	0.0
Rv0406c	819	0	0.0
Rv0407	1011	0	0.0
Rv0408	2073	0	0.0
Rv0409	1158	0	0.0
Rv0410c	2253	0	0.0
Rv0411c	987	0	0.0
Rv0412c	1320	0	0.0
Rv0413	654	0	0.0
Rv0414c	669	0	0.0
Rv0415	1023	0	0.0
Rv0416	207	0	0.0
Rv0417	759	0	0.0
Rv0418	1503	0	0.0
Rv0419	1497	0	0.0
Rv0420c	411	0	0.0
Rv0421c	630	0	0.0
Rv0422c	798	0	0.0
Rv0423c	1644	0	0.0
Rv0424c	276	0	0.0
Rv0425c	4620	0	0.0
Rv0426c	444	0	0.0
Rv0427c	876	0	0.0
Rv0428c	909	0	0.0
Rv0429c	594	0	0.0
Rv0430	309	0	0.0
Rv0431	495	0	0.0
Rv0432	723	0	0.0
Rv0433	1131	0	0.0
Rv0434	654	0	0.0
Rv0435c	2187	0	0.0
Rv0436c	861	0	0.0
Rv0437c	696	0	0.0
Rv0438c	1218	0	0.0
Rv0439c	936	0	0.0
Rv0440	1623	0	0.0
Rv0441c	429	0	0.0
Rv0442c	1464	1464	100.0
Rv0443	516	0	0.0
Rv0444c	699	0	0.0
Rv0445c	564	0	0.0
Rv0446c	771	0	0.0
Rv0447c	1284	0	0.0
Rv0448c	666	0	0.0
Rv0449c	1320	0	0.0
Rv0450c	2904	0	0.0
Rv0451c	423	0	0.0
Rv0452	711	0	0.0
Rv0453	1557	1557	100.0
Rv0455c	447	0	0.0
Rv0456c	915	0	0.0
Rv0456A	282	0	0.0
Rv0456B	174	30	17.24137931034483
Rv0457c	2022	0	0.0
Rv0458	1524	0	0.0
Rv0459	492	0	0.0
Rv0460	240	0	0.0
Rv0461	525	0	0.0
Rv0462	1395	0	0.0
Rv0463	294	0	0.0
Rv0464c	573	0	0.0
Rv0465c	1425	0	0.0
Rv0466	795	0	0.0
Rv0467	1287	0	0.0
Rv0468	861	0	0.0
Rv0469	861	0	0.0
Rv0470c	864	0	0.0
Rv0470A	441	0	0.0
Rv0471c	489	0	0.0
Rv0472c	705	0	0.0
Rv0473	1371	0	0.0
Rv0474	423	0	0.0
Rv0475	600	0	0.0
Rv0476	264	0	0.0
Rv0477	447	0	0.0
Rv0478	675	0	0.0
Rv0479c	1047	0	0.0
Rv0480c	843	0	0.0
Rv0481c	525	0	0.0
Rv0482	1110	0	0.0
Rv0483	1356	0	0.0
Rv0484c	756	0	0.0
Rv0485	1317	0	0.0
Rv0486	1443	0	0.0
Rv0487	552	0	0.0
Rv0488	606	0	0.0
Rv0489	750	0	0.0
Rv0490	1233	4	0.32441200324412006
Rv0491	684	0	0.0
Rv0492c	1890	0	0.0
Rv0492A	330	0	0.0
Rv0493c	990	0	0.0
Rv0494	729	0	0.0
Rv0495c	891	0	0.0
Rv0496	987	0	0.0
Rv0497	933	0	0.0
Rv0498	843	0	0.0
Rv0499	876	0	0.0
Rv0500	888	0	0.0
Rv0500A	237	0	0.0
Rv0501	1131	0	0.0
Rv0502	1077	0	0.0
Rv0503c	909	0	0.0
Rv0504c	501	0	0.0
Rv0505c	1122	0	0.0
Rv0506	444	0	0.0
Rv0507	2907	0	0.0
Rv0508	294	0	0.0
Rv0509	1407	0	0.0
Rv0510	930	0	0.0
Rv0511	1698	0	0.0
Rv0512	990	0	0.0
Rv0513	549	0	0.0
Rv0514	300	0	0.0
Rv0515	1512	0	0.0
Rv0516c	477	0	0.0
Rv0517	1311	0	0.0
Rv0518	696	0	0.0
Rv0519c	903	0	0.0
Rv0522	1305	0	0.0
Rv0523c	396	0	0.0
Rv0524	1389	0	0.0
Rv0525	609	4	0.6568144499178982
Rv0526	651	33	5.0691244239631335
Rv0527	780	0	0.0
Rv0528	1590	0	0.0
Rv0529	975	0	0.0
Rv0530	1218	0	0.0
Rv0530A	162	0	0.0
Rv0531	318	0	0.0
Rv0532	1785	1785	100.0
Rv0533c	1008	105	10.416666666666668
Rv0534c	879	0	0.0
Rv0535	795	0	0.0
Rv0536	1041	0	0.0
Rv0537c	1434	0	0.0
Rv0538	1647	0	0.0
Rv0539	633	0	0.0
Rv0540	663	0	0.0
Rv0541c	1350	0	0.0
Rv0542c	1089	0	0.0
Rv0543c	303	0	0.0
Rv0544c	279	0	0.0
Rv0545c	1254	0	0.0
Rv0546c	387	0	0.0
Rv0547c	885	0	0.0
Rv0548c	945	0	0.0
Rv0549c	414	0	0.0
Rv0550c	267	0	0.0
Rv0551c	1716	58	3.37995337995338
Rv0552	1605	0	0.0
Rv0553	981	0	0.0
Rv0554	789	0	0.0
Rv0555	1665	0	0.0
Rv0556	516	0	0.0
Rv0557	1137	0	0.0
Rv0558	705	0	0.0
Rv0559c	339	0	0.0
Rv0560c	726	0	0.0
Rv0561c	1227	0	0.0
Rv0562	1008	0	0.0
Rv0563	861	0	0.0
Rv0564c	1026	0	0.0
Rv0565c	1461	0	0.0
Rv0566c	492	0	0.0
Rv0567	1020	0	0.0
Rv0568	1419	0	0.0
Rv0569	267	0	0.0
Rv0570	2079	0	0.0
Rv0571c	1332	0	0.0
Rv0572c	342	0	0.0
Rv0573c	1392	0	0.0
Rv0574c	1143	0	0.0
Rv0575c	1167	0	0.0
Rv0576	1305	0	0.0
Rv0577	786	0	0.0
Rv0578c	3921	3921	100.0
Rv0579	759	0	0.0
Rv0580c	492	0	0.0
Rv0581	216	0	0.0
Rv0582	408	0	0.0
Rv0583c	687	0	0.0
Rv0584	2634	0	0.0
Rv0585c	2388	0	0.0
Rv0586	723	0	0.0
Rv0587	798	0	0.0
Rv0588	888	0	0.0
Rv0589	1215	0	0.0
Rv0591	1446	0	0.0
Rv0592	1527	0	0.0
Rv0593	1209	0	0.0
Rv0594	1551	0	0.0
Rv0595c	393	0	0.0
Rv0596c	258	0	0.0
Rv0597c	1236	0	0.0
Rv0598c	414	0	0.0
Rv0599c	237	0	0.0
Rv0600c	507	0	0.0
Rv0601c	471	0	0.0
Rv0602c	762	0	0.0
Rv0603	312	0	0.0
Rv0604	951	0	0.0
Rv0605	585	0	0.0
Rv0607	387	0	0.0
Rv0608	246	0	0.0
Rv0609	402	0	0.0
Rv0609A	228	74	32.45614035087719
Rv0610c	1158	0	0.0
Rv0611c	222	0	0.0
Rv0612	606	74	12.211221122112212
Rv0613c	2568	91	3.543613707165109
Rv0614	750	65	8.666666666666668
Rv0615	243	0	0.0
Rv0616A	228	0	0.0
Rv0617	402	0	0.0
Rv0620	1092	0	0.0
Rv0621	1065	0	0.0
Rv0622	948	0	0.0
Rv0623	255	0	0.0
Rv0624	396	0	0.0
Rv0625c	741	0	0.0
Rv0626	261	0	0.0
Rv0627	408	0	0.0
Rv0628c	1152	0	0.0
Rv0629c	1728	0	0.0
Rv0630c	3285	0	0.0
Rv0631c	3294	0	0.0
Rv0632c	696	0	0.0
Rv0633c	840	0	0.0
Rv0634c	714	0	0.0
Rv0634A	252	0	0.0
Rv0634B	168	0	0.0
Rv0635	477	0	0.0
Rv0636	429	0	0.0
Rv0637	501	0	0.0
Rv0638	486	0	0.0
Rv0639	717	0	0.0
Rv0640	429	0	0.0
Rv0641	708	0	0.0
Rv0642c	906	0	0.0
Rv0643c	882	0	0.0
Rv0644c	864	0	0.0
Rv0645c	861	0	0.0
Rv0646c	906	0	0.0
Rv0647c	1467	0	0.0
Rv0648	3648	0	0.0
Rv0649	675	0	0.0
Rv0650	909	0	0.0
Rv0651	537	0	0.0
Rv0652	393	0	0.0
Rv0653c	696	0	0.0
Rv0654	1506	0	0.0
Rv0655	1080	0	0.0
Rv0656c	384	0	0.0
Rv0657c	156	0	0.0
Rv0658c	717	0	0.0
Rv0659c	309	0	0.0
Rv0660c	246	0	0.0
Rv0661c	438	0	0.0
Rv0662c	255	0	0.0
Rv0663	2364	0	0.0
Rv0664	273	0	0.0
Rv0665	339	0	0.0
Rv0666	174	0	0.0
Rv0667	3519	0	0.0
Rv0668	3951	0	0.0
Rv0669c	1914	0	0.0
Rv0670	759	0	0.0
Rv0671	843	0	0.0
Rv0672	1629	0	0.0
Rv0673	939	0	0.0
Rv0674	723	0	0.0
Rv0675	792	0	0.0
Rv0676c	2895	0	0.0
Rv0677c	429	0	0.0
Rv0678	498	0	0.0
Rv0679c	498	0	0.0
Rv0680c	375	0	0.0
Rv0681	591	0	0.0
Rv0682	375	0	0.0
Rv0683	471	0	0.0
Rv0684	2106	0	0.0
Rv0685	1191	0	0.0
Rv0686	798	0	0.0
Rv0687	828	0	0.0
Rv0688	1221	0	0.0
Rv0689c	255	0	0.0
Rv0690c	1050	0	0.0
Rv0691c	597	0	0.0
Rv0691A	90	0	0.0
Rv0692	330	0	0.0
Rv0693	1176	0	0.0
Rv0694	1191	0	0.0
Rv0695	756	4	0.5291005291005291
Rv0696	1413	0	0.0
Rv0697	1440	0	0.0
Rv0698	612	0	0.0
Rv0699	222	0	0.0
Rv0700	306	0	0.0
Rv0701	654	0	0.0
Rv0702	672	0	0.0
Rv0703	303	7	2.31023102310231
Rv0704	843	0	0.0
Rv0705	282	0	0.0
Rv0706	594	0	0.0
Rv0707	825	0	0.0
Rv0708	417	0	0.0
Rv0709	234	0	0.0
Rv0710	411	0	0.0
Rv0711	2364	0	0.0
Rv0712	900	0	0.0
Rv0713	942	0	0.0
Rv0714	369	0	0.0
Rv0715	318	0	0.0
Rv0716	564	0	0.0
Rv0717	186	0	0.0
Rv0718	399	0	0.0
Rv0719	540	0	0.0
Rv0720	369	0	0.0
Rv0721	663	0	0.0
Rv0722	198	0	0.0
Rv0723	441	0	0.0
Rv0724	1872	0	0.0
Rv0725c	906	0	0.0
Rv0726c	1104	0	0.0
Rv0727c	657	0	0.0
Rv0728c	981	0	0.0
Rv0729	1347	0	0.0
Rv0730	729	0	0.0
Rv0731c	957	0	0.0
Rv0732	1326	0	0.0
Rv0733	546	0	0.0
Rv0734	801	0	0.0
Rv0735	534	0	0.0
Rv0736	753	0	0.0
Rv0737	498	0	0.0
Rv0738	549	0	0.0
Rv0739	807	0	0.0
Rv0740	528	0	0.0
Rv0742	528	528	100.0
Rv0743c	558	0	0.0
Rv0744c	507	0	0.0
Rv0745	528	0	0.0
Rv0746	2352	2352	100.0
Rv0747	2406	2406	100.0
Rv0748	258	0	0.0
Rv0749	429	0	0.0
Rv0749A	138	0	0.0
Rv0750	246	0	0.0
Rv0751c	885	0	0.0
Rv0752c	1173	0	0.0
Rv0753c	1533	0	0.0
Rv0754	1755	1755	100.0
Rv0755c	1938	1938	100.0
Rv0756c	726	0	0.0
Rv0757	744	0	0.0
Rv0758	1458	0	0.0
Rv0759c	333	0	0.0
Rv0760c	420	0	0.0
Rv0761c	1128	0	0.0
Rv0762c	546	0	0.0
Rv0763c	207	0	0.0
Rv0764c	1356	0	0.0
Rv0765c	828	0	0.0
Rv0766c	1209	0	0.0
Rv0767c	642	0	0.0
Rv0768	1470	0	0.0
Rv0769	747	4	0.535475234270415
Rv0770	888	0	0.0
Rv0771	435	0	0.0
Rv0772	1269	0	0.0
Rv0773c	1539	0	0.0
Rv0774c	912	0	0.0
Rv0775	624	0	0.0
Rv0776c	780	0	0.0
Rv0777	1419	0	0.0
Rv0778	1245	0	0.0
Rv0779c	621	0	0.0
Rv0780	894	0	0.0
Rv0783c	1623	0	0.0
Rv0784	687	0	0.0
Rv0785	1701	0	0.0
Rv0786c	639	0	0.0
Rv0787	960	0	0.0
Rv0787A	240	0	0.0
Rv0788	675	0	0.0
Rv0789c	600	0	0.0
Rv0790c	729	0	0.0
Rv0791c	1044	0	0.0
Rv0792c	810	0	0.0
Rv0793	306	0	0.0
Rv0794c	1500	0	0.0
Rv0797	1095	1095	100.0
Rv0798c	798	11	1.3784461152882206
Rv0799c	1008	0	0.0
Rv0800	1302	0	0.0
Rv0801	348	0	0.0
Rv0802c	657	0	0.0
Rv0803	2265	0	0.0
Rv0804	630	0	0.0
Rv0805	957	0	0.0
Rv0806c	1599	0	0.0
Rv0807	390	0	0.0
Rv0808	1584	0	0.0
Rv0809	1095	0	0.0
Rv0810c	183	0	0.0
Rv0811c	1107	0	0.0
Rv0812	870	0	0.0
Rv0813c	681	0	0.0
Rv0814c	303	0	0.0
Rv0815c	834	0	0.0
Rv0816c	423	0	0.0
Rv0817c	813	0	0.0
Rv0818	768	0	0.0
Rv0819	948	0	0.0
Rv0820	777	0	0.0
Rv0821c	642	0	0.0
Rv0822c	2055	0	0.0
Rv0823c	1170	0	0.0
Rv0824c	1017	0	0.0
Rv0825c	642	0	0.0
Rv0826	1056	0	0.0
Rv0827c	393	0	0.0
Rv0828c	423	39	9.219858156028367
Rv0830	906	0	0.0
Rv0831c	816	0	0.0
Rv0832	414	414	100.0
Rv0833	2250	2250	100.0
Rv0834c	2649	2649	100.0
Rv0835	645	0	0.0
Rv0836c	654	0	0.0
Rv0837c	1029	0	0.0
Rv0838	771	0	0.0
Rv0839	813	0	0.0
Rv0840c	861	0	0.0
Rv0841	243	0	0.0
Rv0842	1293	0	0.0
Rv0843	1005	0	0.0
Rv0844c	651	0	0.0
Rv0845	1278	0	0.0
Rv0846c	1515	0	0.0
Rv0847	393	0	0.0
Rv0848	1119	0	0.0
Rv0849	1260	4	0.31746031746031744
Rv0851c	828	4	0.4830917874396135
Rv0852	639	0	0.0
Rv0853c	1683	0	0.0
Rv0854	444	0	0.0
Rv0855	1080	0	0.0
Rv0856	405	0	0.0
Rv0857	474	0	0.0
Rv0858c	1194	0	0.0
Rv0859	1212	0	0.0
Rv0860	2163	0	0.0
Rv0861c	1629	0	0.0
Rv0862c	2271	0	0.0
Rv0863	201	0	0.0
Rv0864	504	0	0.0
Rv0865	483	0	0.0
Rv0866	426	0	0.0
Rv0867c	1224	0	0.0
Rv0868c	279	0	0.0
Rv0869c	1083	0	0.0
Rv0870c	390	0	0.0
Rv0871	408	0	0.0
Rv0872c	1821	1821	100.0
Rv0873	1953	0	0.0
Rv0874c	1161	0	0.0
Rv0875c	489	0	0.0
Rv0876c	1647	0	0.0
Rv0877	789	0	0.0
Rv0878c	1332	1332	100.0
Rv0879c	276	0	0.0
Rv0880	432	0	0.0
Rv0881	867	0	0.0
Rv0882	285	0	0.0
Rv0883c	762	0	0.0
Rv0884c	1131	0	0.0
Rv0885	1023	0	0.0
Rv0886	1728	0	0.0
Rv0887c	459	0	0.0
Rv0888	1473	0	0.0
Rv0889c	1122	0	0.0
Rv0890c	2649	0	0.0
Rv0891c	858	0	0.0
Rv0892	1488	0	0.0
Rv0893c	978	0	0.0
Rv0894	1182	0	0.0
Rv0895	1518	0	0.0
Rv0896	1296	0	0.0
Rv0897c	1608	0	0.0
Rv0898c	264	0	0.0
Rv0899	981	0	0.0
Rv0900	153	0	0.0
Rv0901	528	0	0.0
Rv0902c	1341	0	0.0
Rv0903c	711	0	0.0
Rv0904c	1488	0	0.0
Rv0905	732	0	0.0
Rv0906	1119	0	0.0
Rv0907	1599	0	0.0
Rv0908	2394	0	0.0
Rv0909	180	0	0.0
Rv0910	435	0	0.0
Rv0911	774	0	0.0
Rv0912	450	0	0.0
Rv0913c	1509	0	0.0
Rv0914c	1239	0	0.0
Rv0915c	1272	1272	100.0
Rv0916c	300	300	100.0
Rv0917	1782	0	0.0
Rv0918	477	0	0.0
Rv0919	501	0	0.0
Rv0920c	1320	1320	100.0
Rv0921	582	582	100.0
Rv0922	1653	1653	100.0
Rv0923c	1065	0	0.0
Rv0924c	1287	0	0.0
Rv0925c	738	0	0.0
Rv0926c	1077	0	0.0
Rv0927c	792	0	0.0
Rv0928	1113	0	0.0
Rv0929	975	0	0.0
Rv0930	927	0	0.0
