Gene_Tag	ME	Syn	PA	Amb	Sites	Codons
A2T74_01725	1	0	1	0	1	1
A2T74_01865	1	0	1	0	1	1
A2T74_01905	1	0	1	0	1	1
A2T74_02140	1	0	1	0	1	1
A2T74_02160	1	0	1	0	1	1
A2T74_02185	1	0	1	0	1	1
A2T74_02235	1	0	1	0	1	1
A2T74_02445	1	1	0	0	1	1
A2T74_02495	1	0	1	0	1	1
A2T74_02505	1	0	1	0	1	1
A2T74_02560	1	0	1	0	1	1
A2T74_02960	1	0	1	0	1	1
A2T74_03090	1	0	1	0	1	1
A2T74_03095	1	0	1	0	1	1
A2T74_03150	1	1	0	0	1	1
A2T74_03185	1	0	1	0	1	1
A2T74_03210	1	0	1	0	1	1
A2T74_03230	1	0	1	0	1	1
A2T74_03235	1	1	0	0	1	1
A2T74_03255	1	0	1	0	1	1
A2T74_03315	1	1	0	0	1	1
A2T74_03350	1	0	1	0	1	1
A2T74_03355	1	0	1	0	1	1
A2T74_03360	1	0	1	0	1	1
A2T74_03405	1	0	1	0	1	1
A2T74_03465	1	0	1	0	1	1
A2T74_03590	1	0	1	0	1	1
A2T74_03595	1	0	1	0	1	1
A2T74_03630	1	0	1	0	1	1
A2T74_03750	1	0	1	0	1	1
A2T74_03755	1	0	1	0	1	1
A2T74_03805	1	0	1	0	1	1
A2T74_03900	1	0	1	0	1	1
A2T74_03945	1	1	0	0	1	1
A2T74_03965	1	0	1	0	1	1
A2T74_04050	1	0	1	0	1	1
A2T74_04105	1	0	1	0	1	1
A2T74_04165	1	0	1	0	1	1
A2T74_04170	1	0	1	0	1	1
A2T74_04220	1	0	1	0	1	1
A2T74_04315	1	0	1	0	1	1
A2T74_04350	1	0	1	0	1	1
A2T74_04360	1	0	1	0	1	1
A2T74_04570	1	0	1	0	1	1
A2T74_04580	1	0	1	0	1	1
A2T74_04685	1	0	1	0	1	1
A2T74_04690	1	0	1	0	1	1
A2T74_04705	1	0	1	0	1	1
A2T74_04750	1	0	1	0	1	1
A2T74_04770	1	0	1	0	1	1
A2T74_04775	1	1	0	0	1	1
A2T74_04855	1	0	1	0	1	1
A2T74_04870	1	0	1	0	1	1
A2T74_04900	1	0	1	0	1	1
A2T74_04955	1	0	1	0	1	1
A2T74_04990	1	0	1	0	1	1
A2T74_05045	1	1	0	0	1	1
A2T74_05090	1	0	1	0	1	1
A2T74_05100	1	0	1	0	1	1
A2T74_05195	1	0	1	0	1	1
A2T74_05230	1	0	1	0	1	1
A2T74_05250	1	0	1	0	1	1
A2T74_05325	1	0	1	0	1	1
A2T74_05345	1	0	1	0	1	1
A2T74_05370	1	0	1	0	1	1
A2T74_05470	1	0	1	0	1	1
A2T74_05475	1	0	1	0	1	1
A2T74_05520	1	0	1	0	1	1
A2T74_05535	1	0	1	0	1	1
A2T74_05565	1	0	1	0	1	1
A2T74_05615	1	0	1	0	1	1
A2T74_05805	1	0	1	0	1	1
A2T74_06055	1	0	1	0	1	1
A2T74_06200	1	0	1	0	1	1
A2T74_06245	1	0	1	0	1	1
A2T74_06260	1	1	0	0	1	1
A2T74_06270	1	0	1	0	1	1
A2T74_06295	1	0	1	0	1	1
A2T74_06440	1	0	1	0	1	1
A2T74_06490	1	0	1	0	1	1
A2T74_06635	1	1	0	0	1	1
A2T74_06875	1	0	1	0	1	1
A2T74_06900	1	1	0	0	1	1
A2T74_06920	1	0	1	0	1	1
A2T74_07035	1	0	1	0	1	1
A2T74_07065	1	1	0	0	1	1
A2T74_07210	1	0	1	0	1	1
A2T74_07285	1	0	1	0	1	1
A2T74_07325	1	0	1	0	1	1
A2T74_07330	1	0	1	0	1	1
A2T74_07420	1	0	1	0	1	1
A2T74_07450	1	0	1	0	1	1
A2T74_07550	1	0	1	0	1	1
A2T74_07575	1	0	1	0	1	1
A2T74_07630	1	0	1	0	1	1
A2T74_07795	1	0	1	0	1	1
A2T74_07905	1	0	1	0	1	1
A2T74_07920	1	0	1	0	1	1
A2T74_08055	1	0	1	0	1	1
A2T74_08060	1	0	1	0	1	1
A2T74_08085	1	0	1	0	1	1
A2T74_08095	1	0	1	0	1	1
A2T74_08130	1	0	1	0	1	1
A2T74_08190	1	0	1	0	1	1
A2T74_08310	1	0	1	0	1	1
A2T74_08320	1	0	1	0	1	1
A2T74_08430	1	0	1	0	1	1
A2T74_08440	1	0	1	0	1	1
A2T74_08465	1	0	1	0	1	1
A2T74_08610	1	0	1	0	1	1
A2T74_08750	1	0	1	0	1	1
A2T74_09025	1	0	1	0	1	1
A2T74_09030	1	0	1	0	1	1
A2T74_09135	1	0	1	0	1	1
A2T74_09175	1	0	1	0	1	1
A2T74_09200	1	0	1	0	1	1
A2T74_09405	1	0	1	0	1	1
A2T74_09420	1	0	1	0	1	1
A2T74_09425	1	0	1	0	1	1
A2T74_09485	1	0	1	0	1	1
A2T74_09515	1	0	1	0	1	1
A2T74_09525	1	0	1	0	1	1
A2T74_09570	1	0	1	0	1	1
A2T74_09640	1	0	1	0	1	1
A2T74_09675	1	1	0	0	1	1
A2T74_09735	1	0	1	0	1	1
A2T74_09875	1	0	1	0	1	1
A2T74_09900	1	0	1	0	1	1
A2T74_09955	1	0	1	0	1	1
A2T74_10030	1	0	1	0	1	1
A2T74_10150	1	0	1	0	1	1
A2T74_10195	1	0	1	0	1	1
A2T74_10255	1	0	1	0	1	1
A2T74_10285	1	0	1	0	1	1
A2T74_10310	1	0	1	0	1	1
A2T74_10405	1	0	1	0	1	1
A2T74_10485	1	0	1	0	1	1
A2T74_10535	1	0	1	0	1	1
A2T74_10590	1	0	1	0	1	1
A2T74_10745	1	0	1	0	1	1
A2T74_10775	1	0	1	0	1	1
A2T74_10825	1	0	1	0	1	1
A2T74_10875	1	0	1	0	1	1
A2T74_10920	1	0	1	0	1	1
A2T74_10925	1	0	1	0	1	1
A2T74_11020	1	0	1	0	1	1
A2T74_11100	1	0	1	0	1	1
A2T74_11215	1	0	1	0	1	1
A2T74_11275	1	0	1	0	1	1
A2T74_11295	1	1	0	0	1	1
A2T74_11550	1	1	0	0	1	1
A2T74_11600	1	0	1	0	1	1
A2T74_11715	1	0	1	0	1	1
A2T74_11800	1	0	1	0	1	1
A2T74_11845	1	0	1	0	1	1
A2T74_11865	1	0	1	0	1	1
A2T74_11885	1	0	1	0	1	1
A2T74_11905	1	0	1	0	1	1
A2T74_12065	1	0	1	0	1	1
A2T74_12090	1	0	1	0	1	1
A2T74_12100	1	0	1	0	1	1
A2T74_12170	1	0	1	0	1	1
A2T74_12190	1	0	1	0	1	1
A2T74_12220	1	0	1	0	1	1
A2T74_12265	1	0	1	0	1	1
A2T74_12310	1	0	1	0	1	1
A2T74_12450	1	0	1	0	1	1
A2T74_12600	1	0	1	0	1	1
A2T74_12630	1	0	1	0	1	1
A2T74_12660	1	0	1	0	1	1
A2T74_12750	1	0	1	0	1	1
A2T74_12790	1	0	1	0	1	1
A2T74_13065	1	0	1	0	1	1
A2T74_13150	1	0	1	0	1	1
A2T74_13155	1	0	1	0	1	1
A2T74_13310	1	0	1	0	1	1
A2T74_13340	1	0	1	0	1	1
A2T74_13440	1	0	1	0	1	1
A2T74_13535	1	0	1	0	1	1
A2T74_13550	1	0	1	0	1	1
A2T74_13560	1	0	1	0	1	1
A2T74_13575	1	0	1	0	1	1
A2T74_13595	1	0	1	0	1	1
A2T74_13905	1	0	1	0	1	1
A2T74_14130	1	0	1	0	1	1
A2T74_14190	1	0	1	0	1	1
A2T74_14325	1	0	1	0	1	1
A2T74_14380	1	0	1	0	1	1
A2T74_14385	1	0	1	0	1	1
A2T74_14635	1	0	1	0	1	1
A2T74_14645	1	0	1	0	1	1
A2T74_14770	1	1	0	0	1	1
A2T74_14830	1	0	1	0	1	1
A2T74_14870	1	0	1	0	1	1
A2T74_14890	1	0	1	0	1	1
A2T74_14905	1	0	1	0	1	1
A2T74_14910	1	0	1	0	1	1
A2T74_14985	1	0	1	0	1	1
A2T74_15120	1	0	1	0	1	1
A2T74_15135	1	0	1	0	1	1
A2T74_15380	1	0	1	0	1	1
A2T74_15420	1	0	1	0	1	1
A2T74_15540	1	0	1	0	1	1
A2T74_15550	1	0	1	0	1	1
A2T74_15620	1	0	1	0	1	1
A2T74_15725	1	0	1	0	1	1
A2T74_15945	1	0	1	0	1	1
A2T74_15950	1	0	1	0	1	1
A2T74_16100	1	0	1	0	1	1
A2T74_16135	1	1	0	0	1	1
A2T74_16315	1	0	1	0	1	1
A2T74_16395	1	0	1	0	1	1
A2T74_16590	1	1	0	0	1	1
A2T74_16665	1	0	1	0	1	1
A2T74_16740	1	0	1	0	1	1
A2T74_16835	1	0	1	0	1	1
A2T74_16890	1	0	1	0	1	1
A2T74_16895	1	0	1	0	1	1
A2T74_16915	1	1	0	0	1	1
A2T74_17015	1	0	1	0	1	1
A2T74_17055	1	0	1	0	1	1
A2T74_17070	1	0	1	0	1	1
A2T74_17075	1	0	1	0	1	1
A2T74_17090	1	0	1	0	1	1
A2T74_17560	1	0	1	0	1	1
A2T74_17600	1	0	1	0	1	1
A2T74_17625	1	0	1	0	1	1
A2T74_17635	1	0	1	0	1	1
A2T74_17695	1	0	1	0	1	1
