Gene_Tag	ME	Syn	PA	Sites	Codons
Rv0440	2	2	0	1	1
Rv0452	2	0	2	1	1
Rv0469	2	2	0	1	1
Rv0487	2	0	2	1	1
Rv0501	2	0	2	1	1
Rv0537c	2	2	0	1	1
Rv0552	2	0	2	1	1
Rv0555	2	2	0	1	1
Rv0574c	2	0	2	1	1
Rv0579	2	2	0	1	1
Rv0585c	2	0	2	1	1
Rv0587	2	2	0	1	1
Rv0591	4	0	4	1	1
Rv0602c	2	0	2	1	1
Rv0625c	2	0	2	1	1
Rv0629c	2	2	0	1	1
Rv0630c	2	0	2	1	1
Rv0635	5	0	5	2	2
Rv0667	140	0	140	8	6
Rv0668	56	0	56	16	14
Rv0674	2	0	2	1	1
Rv0681	2	0	2	1	1
Rv0682	76	3	73	3	3
Rv0688	2	2	0	1	1
Rv0696	2	0	2	1	1
Rv0711	2	0	2	1	1
Rv0719	2	0	2	1	1
Rv0733	2	2	0	1	1
Rv0748	10	6	4	3	3
Rv0749	22	14	8	6	6
Rv0750	52	8	44	8	6
Rv0752c	2	0	2	1	1
Rv0758	4	0	4	2	2
Rv0814c	5	0	5	1	1
Rv0818	2	2	0	1	1
Rv0830	3	3	0	1	1
Rv0845	2	0	2	1	1
Rv0846c	2	0	2	1	1
Rv0847	3	0	3	1	1
Rv0859	2	0	2	1	1
Rv0869c	2	2	0	1	1
Rv0874c	4	4	0	2	2
Rv0884c	2	0	2	1	1
Rv0933	2	0	2	1	1
Rv0955	2	0	2	1	1
Rv0956	2	2	0	1	1
Rv0968	2	0	2	1	1
Rv0979c	2	0	2	1	1
Rv0984	2	0	2	1	1
Rv0987	2	0	2	1	1
Rv0988	4	0	4	2	2
Rv1030	4	0	4	2	2
Rv1032c	2	2	0	1	1
Rv1037c	2	2	0	1	1
Rv1038c	12	12	0	1	1
Rv1074c	2	2	0	1	1
Rv1085c	2	2	0	1	1
Rv1118c	4	2	2	2	2
Rv1120c	2	2	0	1	1
Rv1130	8	0	8	2	2
Rv1132	2	2	0	1	1
Rv1161	4	4	0	2	2
Rv1166	2	0	2	1	1
Rv1183	2	2	0	1	1
Rv1186c	2	0	2	1	1
Rv1197	10	5	5	2	2
Rv1198	46	35	11	5	5
Rv1201c	2	2	0	1	1
Rv1206	2	0	2	1	1
Rv1213	3	3	0	1	1
Rv1225c	2	2	0	1	1
Rv1230c	2	2	0	1	1
Rv1232c	2	2	0	1	1
Rv1244	2	2	0	1	1
Rv1248c	4	1	3	2	2
Rv1249c	2	0	2	1	1
Rv1251c	2	0	2	1	1
Rv1256c	2	0	2	1	1
Rv1257c	2	0	2	1	1
Rv1273c	2	0	2	1	1
Rv1279	2	2	0	1	1
Rv1285	2	0	2	1	1
Rv1297	2	0	2	1	1
Rv1319c	2	1	1	1	1
Rv1320c	2	2	0	1	1
Rv1326c	3	3	0	1	1
Rv1336	2	0	2	1	1
Rv1358	2	0	2	1	1
Rv1367c	2	0	2	1	1
Rv1376	2	2	0	1	1
Rv1378c	2	0	2	1	1
Rv1400c	2	0	2	1	1
Rv1404	2	0	2	1	1
Rv1409	2	0	2	1	1
Rv1438	2	2	0	1	1
Rv1446c	2	2	0	1	1
Rv1460	2	0	2	1	1
Rv1461	2	0	2	1	1
Rv1469	2	0	2	1	1
Rv1483	10	10	0	2	2
Rv1484	5	0	5	2	2
Rv1485	4	0	4	1	1
Rv1490	2	0	2	1	1
Rv1493	2	2	0	1	1
Rv1498A	2	2	0	1	1
Rv1500	2	0	2	1	1
Rv1532c	2	2	0	1	1
Rv1534	2	2	0	1	1
Rv1543	2	0	2	1	1
Rv1547	2	0	2	1	1
Rv1554	2	2	0	1	1
Rv1564c	2	2	0	1	1
Rv1591	2	0	2	1	1
Rv1592c	2	2	0	1	1
Rv1595	4	0	4	2	2
Rv1605	2	0	2	1	1
Rv1609	2	0	2	1	1
Rv1629	2	2	0	1	1
Rv1630	2	0	2	1	1
Rv1633	2	0	2	1	1
Rv1634	4	2	2	2	2
Rv1640c	2	0	2	1	1
Rv1645c	2	2	0	1	1
Rv1653	2	2	0	1	1
Rv1655	2	0	2	1	1
Rv1660	2	0	2	1	1
Rv1662	2	0	2	1	1
Rv1665	2	2	0	1	1
Rv1678	2	2	0	1	1
Rv1681	2	2	0	1	1
Rv1683	2	0	2	1	1
Rv1695	2	0	2	1	1
Rv1739c	2	0	2	1	1
Rv1747	2	2	0	1	1
Rv1769	4	2	2	2	2
Rv1771	2	2	0	1	1
Rv1783	2	2	0	1	1
Rv1793	41	32	9	10	10
Rv1795	2	2	0	1	1
Rv1819c	3	3	0	1	1
Rv1830	5	0	5	2	2
Rv1837c	2	0	2	1	1
Rv1842c	2	0	2	1	1
Rv1850	2	0	2	1	1
Rv1854c	2	0	2	1	1
Rv1859	2	0	2	1	1
Rv1860	2	0	2	1	1
Rv1867	2	0	2	1	1
Rv1872c	30	11	19	3	3
Rv1873	13	6	7	2	1
Rv1874	2	0	2	1	1
Rv1877	2	2	0	1	1
Rv1882c	4	2	2	2	2
Rv1883c	2	0	2	1	1
Rv1896c	2	0	2	1	1
Rv1899c	2	0	2	1	1
Rv1901	2	0	2	1	1
Rv1905c	2	0	2	1	1
Rv1908c	96	0	96	3	2
Rv1922	2	2	0	1	1
Rv1935c	2	0	2	1	1
Rv1944c	16	0	16	2	2
Rv1952	2	0	2	1	1
Rv1953	3	0	3	1	1
Rv1957	2	0	2	1	1
Rv1967	2	0	2	1	1
Rv1968	2	2	0	1	1
Rv1973	2	0	2	1	1
Rv1977	2	2	0	1	1
Rv1999c	2	0	2	1	1
Rv2003c	2	0	2	1	1
Rv2005c	4	2	2	2	2
Rv2016	2	0	2	1	1
Rv2030c	2	2	0	1	1
Rv2043c	45	0	45	18	18
Rv2048c	84	35	49	33	27
Rv2062c	4	0	4	2	2
Rv2082	2	0	2	1	1
Rv2097c	2	2	0	1	1
Rv2103c	2	0	2	1	1
Rv2109c	2	2	0	1	1
Rv2125	2	2	0	1	1
Rv2151c	2	2	0	1	1
Rv2165c	2	2	0	1	1
Rv2170	2	0	2	1	1
Rv2187	2	0	2	1	1
Rv2209	2	2	0	1	1
Rv2210c	2	2	0	1	1
Rv2228c	2	2	0	1	1
Rv2230c	2	2	0	1	1
Rv2249c	2	0	2	1	1
Rv2250c	2	0	2	1	1
Rv2258c	2	2	0	1	1
Rv2266	2	0	2	1	1
Rv2267c	2	0	2	1	1
Rv2285	2	0	2	1	1
Rv2287	2	0	2	1	1
Rv2296	2	0	2	1	1
Rv2297	2	0	2	1	1
Rv2302	2	2	0	1	1
Rv2339	4	2	2	2	2
Rv2341	2	0	2	1	1
Rv2347c	4	4	0	1	1
Rv2348c	7	0	7	1	1
Rv2359	2	0	2	1	1
Rv2381c	2	2	0	1	1
Rv2402	2	0	2	1	1
Rv2428	2	2	0	1	1
Rv2439c	2	0	2	1	1
Rv2440c	2	2	0	1	1
Rv2443	2	2	0	1	1
Rv2447c	15	0	15	5	5
Rv2448c	2	0	2	1	1
Rv2467	2	0	2	1	1
Rv2468c	2	0	2	1	1
Rv2476c	2	2	0	1	1
Rv2495c	2	0	2	1	1
Rv2496c	2	0	2	1	1
Rv2522c	2	2	0	1	1
Rv2528c	2	2	0	1	1
Rv2531c	2	2	0	1	1
Rv2544	2	2	0	1	1
Rv2566	2	0	2	1	1
Rv2586c	2	2	0	1	1
Rv2596	2	0	2	1	1
Rv2601	2	2	0	1	1
Rv2605c	3	3	0	1	1
Rv2616	2	0	2	1	1
Rv2620c	2	2	0	1	1
Rv2628	2	0	2	1	1
Rv2639c	2	2	0	1	1
Rv2670c	11	0	11	1	1
Rv2683	2	0	2	1	1
Rv2692	2	0	2	1	1
Rv2722	2	2	0	1	1
Rv2723	2	0	2	1	1
Rv2734	2	2	0	1	1
Rv2748c	2	0	2	1	1
Rv2752c	2	0	2	1	1
Rv2765	2	2	0	1	1
Rv2779c	7	0	7	3	3
Rv2780	3	0	3	1	1
Rv2784c	2	0	2	1	1
Rv2786c	4	0	4	2	2
Rv2790c	2	2	0	1	1
Rv2824c	2	0	2	1	1
Rv2828A	17	0	17	1	1
Rv2835c	2	0	2	1	1
Rv2838c	2	2	0	1	1
Rv2846c	2	2	0	1	1
Rv2862A	3	0	3	1	1
Rv2894c	2	0	2	1	1
Rv2898c	2	2	0	1	1
Rv2913c	2	2	0	1	1
Rv2919c	2	2	0	1	1
Rv2925c	2	2	0	1	1
Rv2931	19	19	0	4	4
Rv2932	10	8	2	2	2
Rv2934	6	2	4	3	3
Rv2935	2	2	0	1	1
Rv2939	2	0	2	1	1
Rv2946c	2	2	0	1	1
Rv2947c	7	7	0	1	1
Rv2956	2	0	2	1	1
Rv2958c	2	0	2	1	1
Rv2962c	2	0	2	1	1
Rv2976c	2	0	2	1	1
Rv2985	2	0	2	1	1
Rv3016	4	0	4	2	2
Rv3017c	2	0	2	1	1
Rv3035	2	2	0	1	1
Rv3043c	2	2	0	1	1
Rv3057c	2	2	0	1	1
Rv3060c	2	2	0	1	1
Rv3064c	2	2	0	1	1
Rv3080c	2	0	2	1	1
Rv3081	5	0	5	1	1
Rv3087	4	0	4	2	2
Rv3109	2	0	2	1	1
Rv3121	2	0	2	1	1
Rv3122	2	0	2	1	1
Rv3130c	2	0	2	1	1
Rv3134c	2	2	0	1	1
Rv3149	2	0	2	1	1
Rv3151	2	2	0	1	1
Rv3176c	2	0	2	1	1
Rv3180c	2	2	0	1	1
Rv3192	2	0	2	1	1
Rv3201c	2	0	2	1	1
Rv3214	2	0	2	1	1
Rv3218	2	2	0	1	1
Rv3234c	4	2	2	2	2
Rv3238c	2	0	2	1	1
Rv3245c	2	2	0	1	1
Rv3263	2	0	2	1	1
Rv3273	2	2	0	1	1
Rv3283	2	2	0	1	1
Rv3296	6	6	0	3	3
Rv3312c	2	0	2	1	1
Rv3312b	2	2	0	1	1
Rv3312A	2	2	0	1	1
Rv3331	2	0	2	1	1
Rv3335c	2	0	2	1	1
Rv3370c	2	2	0	1	1
Rv3378c	2	2	0	1	1
Rv3383c	3	0	3	1	1
Rv3397c	2	0	2	1	1
Rv3401	2	0	2	1	1
Rv3403c	5	0	5	1	1
Rv3404c	2	2	0	1	1
Rv3435c	2	2	0	1	1
Rv3439c	4	0	4	2	2
Rv3447c	2	0	2	1	1
Rv3451	2	0	2	1	1
Rv3457c	11	0	11	3	3
Rv3472	2	0	2	1	1
Rv3534c	2	2	0	1	1
Rv3550	2	0	2	1	1
Rv3561	2	2	0	1	1
Rv3566c	2	2	0	1	1
Rv3566A	2	0	2	1	1
Rv3567c	2	2	0	1	1
Rv3573c	2	0	2	1	1
Rv3620c	22	11	11	2	2
Rv3623	2	0	2	1	1
Rv3634c	2	0	2	1	1
Rv3639c	3	0	3	1	1
Rv3648c	4	2	2	2	2
Rv3649	2	0	2	1	1
Rv3658c	2	2	0	1	1
Rv3663c	2	2	0	1	1
Rv3689	2	2	0	1	1
Rv3696c	2	0	2	1	1
Rv3700c	4	2	2	2	2
Rv3702c	2	0	2	1	1
Rv3707c	5	5	0	1	1
Rv3710	2	0	2	1	1
Rv3716c	2	0	2	1	1
Rv3721c	2	2	0	1	1
Rv3727	2	2	0	1	1
Rv3729	2	0	2	1	1
Rv3743c	2	2	0	1	1
Rv3761c	2	2	0	1	1
Rv3765c	2	2	0	1	1
Rv3777	2	2	0	1	1
Rv3778c	2	0	2	1	1
Rv3792	2	0	2	1	1
Rv3794	2	0	2	1	1
Rv3795	124	0	124	10	7
Rv3796	2	0	2	1	1
Rv3797	4	0	4	2	1
Rv3803c	3	3	0	1	1
Rv3805c	2	0	2	1	1
Rv3806c	4	0	4	2	2
Rv3808c	2	2	0	1	1
Rv3818	2	2	0	1	1
Rv3823c	2	0	2	1	1
Rv3825c	2	2	0	1	1
Rv3829c	2	0	2	1	1
Rv3833	2	0	2	1	1
Rv3839	8	0	8	1	1
Rv3842c	2	0	2	1	1
Rv3854c	7	0	7	3	3
Rv3858c	2	0	2	1	1
Rv3859c	5	5	0	2	2
Rv3860	2	2	0	1	1
Rv3862c	7	0	7	2	2
Rv3868	2	2	0	1	1
Rv3877	2	2	0	1	1
Rv3878	2	0	2	1	1
Rv3881c	2	0	2	1	1
Rv3884c	2	0	2	1	1
Rv3886c	2	0	2	1	1
Rv3887c	2	0	2	1	1
Rv3894c	4	0	4	2	2
Rv3895c	4	4	0	2	2
Rv3900c	2	0	2	1	1
Rv3902c	2	0	2	1	1
Rv3907c	2	2	0	1	1
Rv3909	2	0	2	1	1
Rv3910	4	2	2	2	2
Rv3913	2	2	0	1	1
Rv3919c	11	2	9	5	5
Rv3921c	2	2	0	1	1
