Gene_Tag	ME	Syn	PA	Amb	Sites	Codons
BDAG_02517	1	0	1	0	1	1
BDAG_02526	1	1	0	0	1	1
BDAG_02528	1	0	1	0	1	1
BDAG_02550	1	1	0	0	1	1
BDAG_02558	1	1	0	0	1	1
BDAG_02568	1	0	1	0	1	1
BDAG_02583	1	1	0	0	1	1
BDAG_02588	1	0	1	0	1	1
BDAG_02593	2	2	0	0	1	1
BDAG_02598	1	0	1	0	1	1
BDAG_02604	1	0	1	0	1	1
BDAG_02610	1	0	1	0	1	1
BDAG_02611	1	0	1	0	1	1
BDAG_02625	1	1	0	0	1	1
BDAG_02629	1	0	1	0	1	1
BDAG_02631	1	1	0	0	1	1
BDAG_02634	1	0	1	0	1	1
BDAG_02650	8	0	8	0	8	8
BDAG_02657	1	0	1	0	1	1
BDAG_02677	1	1	0	0	1	1
BDAG_02695	1	0	1	0	1	1
BDAG_02732	1	0	1	0	1	1
BDAG_02750	1	0	1	0	1	1
BDAG_02779	1	1	0	0	1	1
BDAG_02781	14	0	14	0	2	1
BDAG_02788	2	0	2	0	2	2
