Gene_Tag	ME	Syn	PA	Amb	Sites	Codons
BDAG_03123	1	0	1	0	1	1
BDAG_03125	1	0	1	0	1	1
BDAG_03134	1	1	0	0	1	1
BDAG_03166	1	0	1	0	1	1
BDAG_03205	1	0	1	0	1	1
BDAG_03211	1	1	0	0	1	1
BDAG_03221	1	1	0	0	1	1
BDAG_03222	1	0	1	0	1	1
BDAG_03246	1	0	1	0	1	1
BDAG_03247	1	0	1	0	1	1
BDAG_03259	1	0	1	0	1	1
BDAG_03263	1	0	1	0	1	1
BDAG_03274	1	0	1	0	1	1
BDAG_03280	1	0	1	0	1	1
BDAG_03330	1	0	1	0	1	1
BDAG_03356	1	0	1	0	1	1
BDAG_03386	1	0	1	0	1	1
BDAG_03390	1	1	0	0	1	1
BDAG_03463	1	0	1	0	1	1
BDAG_03475	1	0	1	0	1	1
BDAG_03507	1	0	1	0	1	1
BDAG_03513	1	0	1	0	1	1
BDAG_03577	1	1	0	0	1	1
BDAG_03584	1	1	0	0	1	1
BDAG_03589	1	1	0	0	1	1
BDAG_03595	1	1	0	0	1	1
BDAG_03620	1	0	1	0	1	1
BDAG_03670	1	0	1	0	1	1
BDAG_03671	1	1	0	0	1	1
BDAG_03729	1	1	0	0	1	1
BDAG_03731	1	0	1	0	1	1
BDAG_03743	1	0	1	0	1	1
BDAG_03770	1	1	0	0	1	1
BDAG_03789	1	0	1	0	1	1
BDAG_03796	1	1	0	0	1	1
BDAG_03810	1	1	0	0	1	1
BDAG_03811	1	1	0	0	1	1
BDAG_03829	1	1	0	0	1	1
BDAG_03832	1	0	1	0	1	1
BDAG_03868	1	0	1	0	1	1
BDAG_03871	1	0	1	0	1	1
BDAG_03882	1	0	1	0	1	1
BDAG_03905	1	1	0	0	1	1
BDAG_03958	1	0	1	0	1	1
BDAG_03969	1	1	0	0	1	1
BDAG_03971	1	1	0	0	1	1
BDAG_03988	1	1	0	0	1	1
BDAG_03993	1	0	1	0	1	1
BDAG_04007	1	0	1	0	1	1
BDAG_04018	1	1	0	0	1	1
BDAG_04090	1	1	0	0	1	1
BDAG_04135	1	0	1	0	1	1
BDAG_04136	1	0	1	0	1	1
BDAG_04141	1	0	1	0	1	1
BDAG_04144	1	0	1	0	1	1
BDAG_04152	1	0	1	0	1	1
BDAG_04231	1	0	1	0	1	1
BDAG_04266	1	1	0	0	1	1
BDAG_04332	1	1	0	0	1	1
BDAG_04344	1	1	0	0	1	1
BDAG_04351	1	0	1	0	1	1
BDAG_04367	1	1	0	0	1	1
BDAG_04371	1	0	1	0	1	1
BDAG_04379	1	0	1	0	1	1
BDAG_04433	1	0	1	0	1	1
BDAG_04449	1	0	1	0	1	1
BDAG_04452	1	0	1	0	1	1
BDAG_04481	1	0	1	0	1	1
BDAG_04484	1	0	1	0	1	1
BDAG_04489	1	0	1	0	1	1
BDAG_04509	1	0	1	0	1	1
BDAG_04607	1	0	1	0	1	1
BDAG_04641	1	0	1	0	1	1
BDAG_04645	1	0	1	0	1	1
BDAG_04659	1	0	1	0	1	1
BDAG_04684	1	0	1	0	1	1
BDAG_04690	1	1	0	0	1	1
BDAG_04699	1	1	0	0	1	1
BDAG_04717	1	0	1	0	1	1
BDAG_04735	1	0	1	0	1	1
BDAG_04759	1	0	1	0	1	1
BDAG_04771	1	0	1	0	1	1
BDAG_04796	1	0	1	0	1	1
BDAG_04837	1	1	0	0	1	1
BDAG_04847	1	0	1	0	1	1
BDAG_04875	1	0	1	0	1	1
BDAG_04877	1	0	1	0	1	1
BDAG_04953	1	0	1	0	1	1
BDAG_04961	1	1	0	0	1	1
BDAG_04987	1	1	0	0	1	1
